Company,brand_name,key ingredients,key benefits,rating,number of rating
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps to relieve itchy scalp and severe headaches', 'Controls the eruption of pimples', 'Soothes itchy and burning sensation in the eyes', 'Supports skin health and improves its appearance']",4.4,916 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,NA,"['It is a herbal shampoo that helps manage dull, dry and coarse hair', 'It helps to give the hair shine and make them manageable', 'It helps to nourish hair roots, reduce hair fall and protect hair from damage', 'It makes the hair smooth, silky and healthy']",4.3,931 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Boericke and Tafel Arnica Shampoo,Dr Willmar Schwabe India Pvt Ltd,NA,"['Paraben free herbal formula that imparts a tonic influence on the scalp', 'Enhances local blood circulation in scalp', 'Used to treat alopecia and premature graying', 'Promotes hair growth and healthy hair', 'Prevents hair fall']",4.3,331 Ratings
Dr. Reckeweg R78 Eye Care Drop,Dr Reckeweg & Co,NA,"['Relieves eye pain and discomfort', 'Prevents irritation in the mucous membrane of the eye', 'Reduces inflammation in upper eyelid']",4.5,158 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Hapdco Rheumacon Pain Relief Oil,HAPDCO,NA,"['Relieves chest congestion', 'Alleviates headaches', 'Combats itchiness', 'Eases muscular aches and pains', 'Organic blend']",4.4,245 Ratings
Fourrts Gum Forte Gel Homoeopathic Toothpaste,Fourrts India Laboratories Pvt Ltd,NA,"['Provide protection from germs and gingivitis', 'Help in providing relief from toothache', 'It helps maintain strong and healthy teeth and gums']",4.6,248 Ratings
