name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹165,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Arnica Montana Herbal Shampoo with TJC,bottle of 200 ml Shampoo,NA,MRP₹170,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Boericke and Tafel Arnica Shampoo,pump bottle of 250 ml Shampoo,₹200,₹192,https://www.1mg.com/otc/boericke-and-tafel-arnica-shampoo-otc418583
Dr. Reckeweg R78 Eye Care Drop,bottle of 22 ml Drop,₹285,₹256,https://www.1mg.com/otc/dr.-reckeweg-r78-eye-care-drop-otc327376
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Hapdco Rheumacon Pain Relief Oil,bottle of 60 ml Oil,₹175,₹149,https://www.1mg.com/otc/hapdco-rheumacon-pain-relief-oil-otc659823
Fourrts Gum Forte Gel Homoeopathic Toothpaste,tube of 100 gm Gel,₹100,₹98,https://www.1mg.com/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835
SBL Jaborandi Hair Oil,bottle of 200 ml Oil,₹270,₹223,https://www.1mg.com/otc/sbl-jaborandi-hair-oil-otc329035
SBL Cineraria Maritima 10% Eye Drop,bottle of 10 ml Eye Drop,₹135,₹129,https://www.1mg.com/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,bottle of 25 ml Drop,₹550,₹516,https://www.1mg.com/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,₹365,₹320,https://www.1mg.com/otc/bjain-guatteria-gaumeri-drop-otc327159
Bakson's Homeopathy Y-Lax Tablet,bottle of 200 tablets,₹500,₹370,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc648470
SBL Sarracenia Purpurea Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹125,https://www.1mg.com/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹200,₹180,https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,₹285,₹252,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹330,₹320,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹190,₹183,https://www.1mg.com/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953
Bakson's Homeopathy Y-Lax Tablet,bottle of 75 tablets,₹215,₹183,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc400769
SBL Stobal Cough Syrup,bottle of 180 ml Syrup,₹175,₹167,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328988
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹237,https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r73-joint-pain-drop-otc327364
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹85,https://www.1mg.com/otc/sbl-nux-vomica-dilution-30-ch-otc338194
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,₹425,₹374,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,₹160,₹159,https://www.1mg.com/otc/sbl-arnica-montana-hair-oil-with-tjc-otc330951
Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,₹285,₹252,https://www.1mg.com/otc/dr.-reckeweg-r13-hemorrhoidal-drop-otc327481
SBL Scalptone Tablet,bottle of 25 gm Tablet,₹165,₹156,https://www.1mg.com/otc/sbl-scalptone-tablet-otc326111
Bakson's Homeopathy Aller Aid Tablet,bottle of 75 tablets,₹215,₹168,https://www.1mg.com/otc/bakson-s-homeopathy-aller-aid-tablet-otc388848
SBL Clearstone Drop,bottle of 30 ml Drop,₹165,₹128,https://www.1mg.com/otc/sbl-clearstone-drop-otc326121
Dr. Reckeweg R5 Stomach and Digestion Drop,bottle of 22 ml Drop,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r5-stomach-and-digestion-drop-otc326077
SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 100 ml Drop,₹425,₹336,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329006
SBL Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹100,https://www.1mg.com/otc/sbl-berberis-vulgaris-mother-tincture-q-otc348876
Bhargava Spondin Drop,bottle of 30 ml Drop,₹185,₹174,https://www.1mg.com/otc/bhargava-spondin-drop-otc325892
Bakson's Homeopathy Aller Aid Tablet,bottle of 200 tablets,₹500,₹382,https://www.1mg.com/otc/bakson-s-homeopathy-aller-aid-tablet-otc326090
Bakson's Homeopathy Throat Aid Tablet,bottle of 75 tablets,₹215,₹153,https://www.1mg.com/otc/bakson-s-homeopathy-throat-aid-tablet-otc325990
Dr. Reckeweg R9 Cough Drop,bottle of 22 ml Drop,₹285,₹267,https://www.1mg.com/otc/dr.-reckeweg-r9-cough-drop-otc326072
Dr. Reckeweg R25 Prostatitis Drop,bottle of 22 ml Drop,₹285,₹244,https://www.1mg.com/otc/dr.-reckeweg-r25-prostatitis-drop-otc326058
SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-arnica-montana-dilution-200-ch-otc338216
SBL Calcarea Fluorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹96.3,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-6x-otc331087
